 (keyframe) Encoding frame 0, Done!
Encoding frame 244, Done!
Encoding frame 245, Done!
Encoding frame 246, Done!
Encoding frame 247, Done!
Encoding frame 248, Done!
Encoding frame 249, Done!
Encoding frame 250, Done!
Encoding frame 251, Done!
Encoding frame 252, Done!
Encoding frame 253, Done!
Encoding frame 254, Done!
Encoding frame 255, Done!
Encoding frame 256, Done!
Encoding frame 257, Done!
Encoding frame 258, Done!
Encoding frame 259, Done!
Encoding frame 260, Done!
Encoding frame 261, Done!
Encoding frame 262, Done!
Encoding frame 263, Done!
Encoding frame 264, Done!
Encoding frame 265, Done!
Encoding frame 266, Done!
Encoding frame 267, Done!
Encoding frame 268, Done!
Encoding frame 269, Done!
Encoding frame 270, Done!
Encoding frame 271, Done!
Encoding frame 272, Done!
Encoding frame 273, Done!
Encoding frame 274, Done!
Encoding frame 275, Done!
Encoding frame 276, Done!
Encoding frame 277, Done!
Encoding frame 278, Done!
Encoding frame 279, Done!
Encoding frame 280, Done!
Encoding frame 281, Done!
Encoding frame 282, Done!
Encoding frame 283, Done!
Encoding frame 284, Done!
Encoding frame 285, Done!
Encoding frame 286, Done!
Encoding frame 287, Done!
Encoding frame 288, Done!
Encoding frame 289, Done!
Encoding frame 290, Done!
Encoding frame 291, Done!
Encoding frame 292, Done!
Encoding frame 293, Done!
Encoding frame 294, Done!
Encoding frame 295, Done!
Encoding frame 296, Done!
Encoding frame 297, Done!
Encoding frame 298, Done!
Encoding frame 299, Done!

real	0m21,766s
user	0m21,303s
sys	0m0,293s
PC exit code: 0
Connection to in5050-2014-11 closed.
